market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source
ChiNext,0.5,50%,LTR-DQN,12,-0.77176128310998748,1370134292,
ChiNext,0.5,50%,LTR-DQN,19,0.0032931102821034397,1002649107,
ChiNext,0.5,50%,LTR-DQN,21,-0.1790694283331864,1964215710,
ChiNext,0.5,50%,LTR-DQN,23,1.3280461423112633,1165368502,
ChiNext,0.5,50%,LTR-DQN,32,-0.0091684169611498945,308104437,
ChiNext,0.5,50%,LTR-DQN,34,1.0581496488891209,1016970410,
ChiNext,0.5,50%,LTR-DQN,36,-0.79578434014248045,1560978608,
ChiNext,0.5,50%,LTR-DQN,39,5.4545562153605154,1512791264,
ChiNext,0.5,50%,LTR-DQN,44,-0.41728397517174942,1151822198,
ChiNext,0.5,50%,LTR-DQN,47,0.21376122868196634,1393071684,
ChiNext,0.5,50%,LTR-DQN,51,0.5372852944960782,1159912687,
ChiNext,0.5,50%,LTR-DQN,53,2.1197691633119398,1216631962,
ChiNext,0.5,50%,LTR-DQN,76,-0.69198811859945819,2041065228,
ChiNext,0.5,50%,LTR-DQN,77,0.28156422869344722,715834519,
ChiNext,0.5,50%,LTR-DQN,94,-0.022028846076890596,1439929252,
ChiNext,0.5,50%,LTR-DQN,96,3.3936550151390446,1852334621,
ChiNext,0.5,50%,LTR-DQN,100,-0.71583493490007566,127626911,
ChiNext,0.5,50%,LTR-DQN,101,-0.070198444082308242,95259990,
ChiNext,0.5,50%,LTR-DQN,105,-0.34856848077498215,694807112,
ChiNext,0.5,50%,LTR-DQN,131,-0.16613249388960316,1928971597,
ChiNext,0.5,50%,LambdaMART,12,-0.73705321714189687,,
ChiNext,0.5,50%,LambdaMART,19,-0.23577835862778307,,
ChiNext,0.5,50%,LambdaMART,21,-0.48728059792847533,,
ChiNext,0.5,50%,LambdaMART,23,0.72309285364249121,,
ChiNext,0.5,50%,LambdaMART,32,0.17997562913375642,,
ChiNext,0.5,50%,LambdaMART,34,-0.30121945868165023,,
ChiNext,0.5,50%,LambdaMART,36,-0.83741804114745466,,
ChiNext,0.5,50%,LambdaMART,39,2.8832260623443569,,
ChiNext,0.5,50%,LambdaMART,44,-0.18158758029574507,,
ChiNext,0.5,50%,LambdaMART,47,-0.030353046537778816,,
ChiNext,0.5,50%,LambdaMART,51,-0.12127582595335151,,
ChiNext,0.5,50%,LambdaMART,53,2.8216382934656812,,
ChiNext,0.5,50%,LambdaMART,76,-0.77953610884564484,,
ChiNext,0.5,50%,LambdaMART,77,0.27523755808319983,,
ChiNext,0.5,50%,LambdaMART,94,-0.43292055985619038,,
ChiNext,0.5,50%,LambdaMART,96,4.0062753846091193,,
ChiNext,0.5,50%,LambdaMART,100,-0.71143051719194661,,
ChiNext,0.5,50%,LambdaMART,101,-0.26070011682738159,,
ChiNext,0.5,50%,LambdaMART,105,-0.27964551983889918,,
ChiNext,0.5,50%,LambdaMART,131,-0.18074485689238695,,
ChiNext,0.5,50%,LambdaRank,14,0.29081777032085698,,
ChiNext,0.5,50%,LambdaRank,15,-0.62121655851000168,,
ChiNext,0.5,50%,LambdaRank,20,0.4162183398471262,,
ChiNext,0.5,50%,LambdaRank,27,0.15492958986182814,,
ChiNext,0.5,50%,LambdaRank,52,0.38729080526004389,,
ChiNext,0.5,50%,LambdaRank,59,-0.39492179375388525,,
ChiNext,0.5,50%,LambdaRank,61,-0.14331543473237529,,
ChiNext,0.5,50%,LambdaRank,64,0.1818715185296409,,
ChiNext,0.5,50%,LambdaRank,71,0.32355973999938548,,
ChiNext,0.5,50%,LambdaRank,74,6.7433769374634664,,
ChiNext,0.5,50%,LambdaRank,78,-0.0013012722271894539,,
ChiNext,0.5,50%,LambdaRank,88,-0.61562007345517689,,
ChiNext,0.5,50%,LambdaRank,89,0.1810601132140417,,
ChiNext,0.5,50%,LambdaRank,90,-0.0054025115361679976,,
ChiNext,0.5,50%,LambdaRank,101,0.38970484377034964,,
ChiNext,0.5,50%,LambdaRank,107,-0.48548676706611882,,
ChiNext,0.5,50%,LambdaRank,108,-0.0099336814855901512,,
ChiNext,0.5,50%,LambdaRank,112,0.22265232576365102,,
ChiNext,0.5,50%,LambdaRank,123,-0.15773173543593866,,
ChiNext,0.5,50%,LambdaRank,130,0.30552255265074946,,
ChiNext,0.59999999999999998,60%,LTR-DQN,3,-0.61715695082443101,971280515,
ChiNext,0.59999999999999998,60%,LTR-DQN,11,-0.57140322916301689,1301183155,
ChiNext,0.59999999999999998,60%,LTR-DQN,16,1.1977346762123773,1336006421,
ChiNext,0.59999999999999998,60%,LTR-DQN,19,0.0126426787356686,849540145,
ChiNext,0.59999999999999998,60%,LTR-DQN,22,-0.23016572687115955,652713711,
ChiNext,0.59999999999999998,60%,LTR-DQN,27,-0.64606002109572591,1696980497,
ChiNext,0.59999999999999998,60%,LTR-DQN,30,2.8871889639301167,1566945636,
ChiNext,0.59999999999999998,60%,LTR-DQN,31,1.6896151303929567,1957872861,
ChiNext,0.59999999999999998,60%,LTR-DQN,37,2.7352763504657447,1007287494,
ChiNext,0.59999999999999998,60%,LTR-DQN,38,-0.570525874635474,216032310,
ChiNext,0.59999999999999998,60%,LTR-DQN,40,-0.58059577186996836,863565867,
ChiNext,0.59999999999999998,60%,LTR-DQN,42,4.0296184540842201,433847147,
ChiNext,0.59999999999999998,60%,LTR-DQN,47,0.2121182826908472,1583449470,
ChiNext,0.59999999999999998,60%,LTR-DQN,48,-0.30905919723625819,1516734726,
ChiNext,0.59999999999999998,60%,LTR-DQN,53,1.7431933303351439,1363972009,
ChiNext,0.59999999999999998,60%,LTR-DQN,60,0.023779756719656708,51476323,
ChiNext,0.59999999999999998,60%,LTR-DQN,61,-0.40516929220855358,1641487949,
ChiNext,0.59999999999999998,60%,LTR-DQN,75,-0.31714803594650631,433736619,
ChiNext,0.59999999999999998,60%,LTR-DQN,90,-0.12309270093241753,539407268,
ChiNext,0.59999999999999998,60%,LTR-DQN,94,-0.011282991201092218,945174813,
ChiNext,0.59999999999999998,60%,LambdaMART,3,-0.38124432310756062,,
ChiNext,0.59999999999999998,60%,LambdaMART,11,-0.61408268783596776,,
ChiNext,0.59999999999999998,60%,LambdaMART,16,0.70471268404918086,,
ChiNext,0.59999999999999998,60%,LambdaMART,19,-0.17307049106329575,,
ChiNext,0.59999999999999998,60%,LambdaMART,22,-0.58255843174843402,,
ChiNext,0.59999999999999998,60%,LambdaMART,27,-0.61688591101756662,,
ChiNext,0.59999999999999998,60%,LambdaMART,30,0.94295782844986387,,
ChiNext,0.59999999999999998,60%,LambdaMART,31,0.83571532788836822,,
ChiNext,0.59999999999999998,60%,LambdaMART,37,5.0869549024636962,,
ChiNext,0.59999999999999998,60%,LambdaMART,38,-0.071232127408438206,,
ChiNext,0.59999999999999998,60%,LambdaMART,40,-0.68328832841620546,,
ChiNext,0.59999999999999998,60%,LambdaMART,42,1.5737638689337006,,
ChiNext,0.59999999999999998,60%,LambdaMART,47,-0.062544051058822214,,
ChiNext,0.59999999999999998,60%,LambdaMART,48,-0.38996001609968534,,
ChiNext,0.59999999999999998,60%,LambdaMART,53,1.9239572116117016,,
ChiNext,0.59999999999999998,60%,LambdaMART,60,-0.44489423401282302,,
ChiNext,0.59999999999999998,60%,LambdaMART,61,-0.35471624340519448,,
ChiNext,0.59999999999999998,60%,LambdaMART,75,-0.39573297748370728,,
ChiNext,0.59999999999999998,60%,LambdaMART,90,-0.46224442500329666,,
ChiNext,0.59999999999999998,60%,LambdaMART,94,-0.3565068987444221,,
ChiNext,0.59999999999999998,60%,LambdaRank,2,1.6234064387690874,,
ChiNext,0.59999999999999998,60%,LambdaRank,4,0.91196075347227223,,
ChiNext,0.59999999999999998,60%,LambdaRank,14,0.38405523569112354,,
ChiNext,0.59999999999999998,60%,LambdaRank,15,-0.58796029314988574,,
