market,model,statistic,100%,90%,80%,70%,60%,50%
Main,LambdaRank,Mean,1.12900651746923,1.0489657954346574,0.99697974224392394,1.034953012571568,0.8139871314089806,0.83194645332765815
Main,LambdaRank,Std.,-,0.56298965575386217,0.7819903515994443,1.2260391574843927,0.96698323757367954,1.3309549977438468
Main,LambdaMART,Mean,1.8455889491279187,1.1446051779470703,1.1230186601861603,1.094061272513942,1.0309991008052255,0.93988213005751431
Main,LambdaMART,Std.,-,0.64039974062489713,0.85637816678945788,1.0474997872647209,1.1869517644259333,1.3624221742184961
Main,LTR-DQN,Mean,2.779974433613388,1.9876216331895482,1.8219481408514411,1.684555598899216,1.4806543331015858,1.3551366172746278
Main,LTR-DQN,Std.,-,0.92485960276779189,1.2452821015359961,1.376434276704176,1.4861149620699523,1.4965711072741947
ChiNext,LambdaRank,Mean,0.17309794269366097,0.098997329833946227,0.1739828908547946,0.22497310861626069,0.30697989469837145,0.35810373542393475
ChiNext,LambdaRank,Std.,-,0.35399559735565889,0.5629163904146266,0.77201055386111406,1.0804212421640897,1.5390978662992016
ChiNext,LambdaMART,Mean,0.3515691324376562,0.33877220947253189,0.29966634218898391,0.30099707573151036,0.27395503384955455,0.26562509877560103
ChiNext,LambdaMART,Std.,-,1.5710102013609668,0.96621777510683005,1.4257199797824349,1.3642044335872232,1.3514457285183143
ChiNext,LTR-DQN,Mean,0.5871417361587874,0.53509574909393653,0.62991792115261114,0.5735685801999415,0.50747539157910648,0.51011306425618019
ChiNext,LTR-DQN,Std.,-,1.1309097688644196,2.109237059243033,1.4124799295458057,1.3859158759464945,1.5633328530054889
