market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source,source_signature
Main,0.5,50%,LambdaRank,7,0.7809238233295797,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,12,0.09215403738077033,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,13,0.5928165119420075,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,25,0.7137886897863144,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,27,0.2893251044765015,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,34,1.0008032861958105,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,58,-0.19972217394457137,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,63,-0.11957938165424875,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,65,0.418760330049218,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,74,4.56189945506968,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,77,0.49394049780171034,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,78,1.8845967198080613,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,80,0.337595702352397,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaRank,86,0.2542277521113827,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
