qid_date,funds,market,strategy,source_signature
20211207.0,1000000.0,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211208.0,1016564.9998361073,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211209.0,1011846.1049570264,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211210.0,1017587.3196527591,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211213.0,1010760.3266407934,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211214.0,1001994.0020618663,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211215.0,1007765.4875398792,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211216.0,991758.1406612233,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211217.0,976877.8014024175,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211220.0,983496.1482439135,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211221.0,983689.8975859907,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211222.0,990552.1178245787,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211223.0,985068.4215064199,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211224.0,984663.5586889804,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211227.0,991997.3325676487,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211228.0,977488.3797076226,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211229.0,985101.05931637,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211230.0,988876.951235949,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20211231.0,984351.850176746,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220104.0,974414.8181347096,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220105.0,964429.0157801664,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220106.0,965257.4600995252,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220107.0,969596.2921739948,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220110.0,960334.708096049,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220111.0,969903.483359081,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220112.0,953958.2703502408,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220113.0,946114.8253565297,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220114.0,954230.598217981,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220117.0,963452.2824741984,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220118.0,956853.5980552383,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220119.0,965487.2882159308,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220120.0,956641.4939379576,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220121.0,958127.1576014193,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220124.0,936452.4049151135,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220125.0,943229.5116261253,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220126.0,924728.0648105858,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220127.0,913498.166622236,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220128.0,927573.3469032353,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220207.0,922506.0137443308,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220208.0,931171.1125103071,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220209.0,928729.5820987741,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
