,Models,Main board market,Main board market,Main board market,Main board market,Main board market,ChiNext market,ChiNext market,ChiNext market,ChiNext market,ChiNext market
,Models,ARR,MDR,CR,SR,WR,ARR,MDR,CR,SR,WR
Benchmarks,Market indices,-0.128,0.310,-0.415,-0.724,0.478,-0.252,0.385,-0.656,-0.966,0.458
,Baseline portfolios,0.011,0.244,0.043,0.008,0.481,-0.042,0.332,-0.127,-0.162,0.464
Comparison models,LR,0.732,0.363,2.015,2.617,0.499,0.295,0.381,0.776,0.963,0.492
,MLP_R,1.335,0.186,7.176,4.721,0.511,0.055,0.449,0.122,0.287,0.473
,SVM_R,0.597,0.229,2.607,2.019,0.494,-0.317,0.484,-0.654,-0.804,0.459
,XGB_R,0.777,0.253,3.075,2.625,0.497,0.012,0.310,0.038,0.145,0.464
,SVM_C,-0.000,0.332,-0.000,-0.003,0.441,-0.018,0.400,-0.044,0.012,0.438
,MLP_C,-0.035,0.334,-0.106,-0.179,0.443,-0.024,0.430,-0.057,-0.011,0.453
,XGB_C,0.027,0.303,0.090,0.121,0.441,-0.003,0.404,-0.008,0.067,0.422
Main models,LambdaRank,1.129,0.273,4.130,3.850,0.515,0.173,0.407,0.426,0.618,0.463
,LambdaMART,1.846,0.289,6.376,6.044,0.529,0.352,0.312,1.126,1.154,0.492
,LTR-DQN,2.780,0.219,12.693,7.475,0.569,0.587,0.310,1.893,1.723,0.514
