Training duration,Model,Main Board,Main Board,Main Board,Main Board,Main Board,ChiNext,ChiNext,ChiNext,ChiNext,ChiNext
Training duration,Model,ARR,MDR,CR,SR,WR,ARR,MDR,CR,SR,WR
2 years,LR,0.965,0.290,3.328,3.399,0.509,0.301,0.469,0.641,0.981,0.494
,MLP_R,0.474,0.305,1.556,1.694,0.495,-0.082,0.387,-0.211,-0.122,0.474
,SVM_R,0.608,0.213,2.848,1.992,0.497,-0.095,0.470,-0.203,-0.157,0.462
,XGB_R,0.450,0.353,1.276,1.575,0.479,-0.163,0.433,-0.375,-0.329,0.455
,SVM_C,-0.028,0.335,-0.083,-0.134,0.438,-0.079,0.432,-0.182,-0.205,0.432
,MLP_C,-0.004,0.312,-0.013,-0.016,0.457,-0.035,0.428,-0.081,-0.027,0.454
,XGB_C,-0.008,0.320,-0.024,-0.039,0.450,-0.062,0.437,-0.143,-0.112,0.441
,LambdaRank,1.052,0.315,3.340,3.623,0.507,0.358,0.269,1.329,1.171,0.478
,LambdaMART,1.430,0.296,4.823,5.136,0.521,0.505,0.203,2.481,1.607,0.487
,LTR-DQN,1.868,0.253,7.385,5.614,0.559,0.630,0.277,2.273,1.847,0.509
4 years,LR,1.274,0.289,4.410,4.404,0.517,0.171,0.442,0.386,0.608,0.489
,MLP_R,1.150,0.241,4.774,3.958,0.511,0.075,0.418,0.180,0.344,0.463
,SVM_R,0.824,0.245,3.357,2.638,0.509,-0.110,0.409,-0.268,-0.226,0.477
,XGB_R,1.827,0.205,8.930,6.027,0.536,-0.086,0.376,-0.228,-0.124,0.463
,SVM_C,-0.075,0.341,-0.219,-0.361,0.441,-0.023,0.421,-0.056,-0.023,0.434
,MLP_C,-0.016,0.310,-0.050,-0.079,0.446,-0.024,0.487,-0.049,0.004,0.450
,XGB_C,0.110,0.310,0.355,0.514,0.448,0.023,0.445,0.052,0.152,0.436
,LambdaRank,0.772,0.385,2.006,2.676,0.504,0.431,0.374,1.154,1.341,0.469
,LambdaMART,1.490,0.365,4.077,4.889,0.524,0.499,0.277,1.804,1.586,0.495
,LTR-DQN,1.623,0.218,7.433,4.553,0.558,0.710,0.201,3.539,1.937,0.513
