market,learning_rate,ARR,n_games,evaluation_seed,source_signature,seed_signature
Main,0.0001,1.6647489903525483,31,36,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,0.001,2.1688238460479075,31,36,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,0.002,2.779974433613388,31,36,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,0.01,1.6513623754531808,31,36,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,0.1,1.6593569560552757,31,36,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,0.2,1.650839172101222,31,36,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,0.0001,0.0704634963217996,31,66,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,0.001,0.07311080744345544,31,66,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,0.002,0.6337350542259399,31,66,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,0.01,0.45664032451210534,31,66,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,0.1,0.12473452560722187,31,66,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,0.2,0.3154074825266411,31,66,b32b86c3c281192dea7204a58f47638f0f9932a420585b97bb66fcec1e594837,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
