qid_date,number_of_stocks,market
20211207,3,ChiNext
20211208,0,ChiNext
20211209,4,ChiNext
20211210,4,ChiNext
20211213,0,ChiNext
20211214,3,ChiNext
20211215,1,ChiNext
20211216,1,ChiNext
20211217,1,ChiNext
20211220,1,ChiNext
20211221,0,ChiNext
20211222,0,ChiNext
20211223,3,ChiNext
20211224,4,ChiNext
20211227,4,ChiNext
20211228,1,ChiNext
20211229,1,ChiNext
20211230,1,ChiNext
20211231,1,ChiNext
20220104,0,ChiNext
20220105,0,ChiNext
20220106,0,ChiNext
20220107,3,ChiNext
20220110,3,ChiNext
20220111,3,ChiNext
20220112,1,ChiNext
20220113,1,ChiNext
20220114,4,ChiNext
20220117,4,ChiNext
20220118,0,ChiNext
20220119,0,ChiNext
20220120,3,ChiNext
20220121,3,ChiNext
20220124,3,ChiNext
20220125,1,ChiNext
20220126,0,ChiNext
20220127,0,ChiNext
20220128,0,ChiNext
20220207,1,ChiNext
20220208,1,ChiNext
20220209,1,ChiNext
20220210,3,ChiNext
20220211,0,ChiNext
20220214,0,ChiNext
20220215,0,ChiNext
20220216,1,ChiNext
20220217,1,ChiNext
20220218,1,ChiNext
20220221,3,ChiNext
20220222,4,ChiNext
20220223,0,ChiNext
20220224,1,ChiNext
20220225,1,ChiNext
20220228,1,ChiNext
20220301,3,ChiNext
20220302,3,ChiNext
20220303,4,ChiNext
20220304,4,ChiNext
20220307,1,ChiNext
20220308,4,ChiNext
20220309,4,ChiNext
20220310,3,ChiNext
20220311,3,ChiNext
20220314,3,ChiNext
20220315,1,ChiNext
20220316,1,ChiNext
20220317,1,ChiNext
20220318,1,ChiNext
20220321,1,ChiNext
20220322,3,ChiNext
20220323,3,ChiNext
20220324,0,ChiNext
20220325,4,ChiNext
20220328,4,ChiNext
20220329,4,ChiNext
20220330,1,ChiNext
20220331,3,ChiNext
20220401,3,ChiNext
20220406,0,ChiNext
20220407,0,ChiNext
20220408,1,ChiNext
20220411,4,ChiNext
20220412,4,ChiNext
20220413,0,ChiNext
20220414,3,ChiNext
20220415,3,ChiNext
20220418,1,ChiNext
20220419,1,ChiNext
20220420,4,ChiNext
20220421,4,ChiNext
20220422,1,ChiNext
20220425,1,ChiNext
20220426,3,ChiNext
20220427,3,ChiNext
20220428,3,ChiNext
20220429,1,ChiNext
20220505,0,ChiNext
20220506,4,ChiNext
20220509,1,ChiNext
20220510,1,ChiNext
20220511,1,ChiNext
20220512,3,ChiNext
20220513,0,ChiNext
20220516,0,ChiNext
20220517,1,ChiNext
20220518,4,ChiNext
20220519,3,ChiNext
20220520,3,ChiNext
20220523,0,ChiNext
20220524,1,ChiNext
20220525,1,ChiNext
20220526,4,ChiNext
20220527,2,ChiNext
20220530,2,ChiNext
20220531,1,ChiNext
20220601,1,ChiNext
20220602,0,ChiNext
20220606,2,ChiNext
20220607,2,ChiNext
20220608,2,ChiNext
20220609,2,ChiNext
20220610,1,ChiNext
20220613,1,ChiNext
20220614,1,ChiNext
20220615,1,ChiNext
20220616,0,ChiNext
20220617,4,ChiNext
20220620,4,ChiNext
20220621,4,ChiNext
20220622,4,ChiNext
20220623,2,ChiNext
20220624,2,ChiNext
20220627,2,ChiNext
20220628,1,ChiNext
20220629,1,ChiNext
20220630,1,ChiNext
20220701,0,ChiNext
20220704,0,ChiNext
20220705,0,ChiNext
20220706,2,ChiNext
20220707,2,ChiNext
20220708,2,ChiNext
20220711,1,ChiNext
20220712,2,ChiNext
20220713,4,ChiNext
20220714,4,ChiNext
20220715,4,ChiNext
20220718,4,ChiNext
20220719,1,ChiNext
20220720,0,ChiNext
20220721,2,ChiNext
20220722,2,ChiNext
20220725,2,ChiNext
20220726,2,ChiNext
20220727,3,ChiNext
20220728,3,ChiNext
20220729,1,ChiNext
20220801,4,ChiNext
20220802,1,ChiNext
20220803,1,ChiNext
20220804,4,ChiNext
20220805,4,ChiNext
20220808,4,ChiNext
20220809,4,ChiNext
20220810,2,ChiNext
20220811,4,ChiNext
20220812,4,ChiNext
20220815,3,ChiNext
20220816,2,ChiNext
20220817,3,ChiNext
20220818,1,ChiNext
20220819,1,ChiNext
20220822,1,ChiNext
20220823,1,ChiNext
20220824,1,ChiNext
20220825,2,ChiNext
20220826,2,ChiNext
20220829,2,ChiNext
20220830,2,ChiNext
20220831,4,ChiNext
20220901,3,ChiNext
20220902,3,ChiNext
20220905,3,ChiNext
20220906,3,ChiNext
20220907,3,ChiNext
20220908,2,ChiNext
20220909,2,ChiNext
20220913,2,ChiNext
20220914,2,ChiNext
20220915,2,ChiNext
20220916,2,ChiNext
20220919,2,ChiNext
20220920,4,ChiNext
20220921,4,ChiNext
20220922,4,ChiNext
20220923,4,ChiNext
20220926,3,ChiNext
20220927,2,ChiNext
20220928,2,ChiNext
20220929,0,ChiNext
20220930,3,ChiNext
20221010,3,ChiNext
20221011,0,ChiNext
20221012,0,ChiNext
20221013,2,ChiNext
20221014,2,ChiNext
20221017,2,ChiNext
20221018,4,ChiNext
20221019,4,ChiNext
20221020,4,ChiNext
20221021,4,ChiNext
20221024,4,ChiNext
20221025,2,ChiNext
20221026,2,ChiNext
20221027,2,ChiNext
20221028,2,ChiNext
20221031,3,ChiNext
20221101,0,ChiNext
20221102,0,ChiNext
20221103,0,ChiNext
20221104,2,ChiNext
20221107,2,ChiNext
20221108,2,ChiNext
20221109,2,ChiNext
20221110,4,ChiNext
20221111,4,ChiNext
20221114,3,ChiNext
20221115,3,ChiNext
20221116,2,ChiNext
20221117,2,ChiNext
20221118,2,ChiNext
20221121,2,ChiNext
20221122,4,ChiNext
20221123,4,ChiNext
20221124,3,ChiNext
20221125,4,ChiNext
20221128,2,ChiNext
20221129,2,ChiNext
20221130,2,ChiNext
20221201,2,ChiNext
20221202,3,ChiNext
20221205,3,ChiNext
20221206,3,ChiNext
20221207,3,ChiNext
20221208,2,ChiNext
20221209,2,ChiNext
20221212,2,ChiNext
20221213,2,ChiNext
20221214,0,ChiNext
20221215,0,ChiNext
20221216,0,ChiNext
20221219,0,ChiNext
20221220,2,ChiNext
20221221,2,ChiNext
20221222,2,ChiNext
20221223,4,ChiNext
20221226,2,ChiNext
20221227,3,ChiNext
20221228,3,ChiNext
20221229,3,ChiNext
20221230,4,ChiNext
20230103,2,ChiNext
20230104,2,ChiNext
20230105,4,ChiNext
20230106,4,ChiNext
20230109,4,ChiNext
20230110,4,ChiNext
20230111,4,ChiNext
20230112,2,ChiNext
20230113,2,ChiNext
20230116,2,ChiNext
20230117,2,ChiNext
20230118,3,ChiNext
20230119,3,ChiNext
20230120,3,ChiNext
20230130,0,ChiNext
20230131,2,ChiNext
20230201,2,ChiNext
20230202,2,ChiNext
20230203,2,ChiNext
20230206,1,ChiNext
20230207,3,ChiNext
20230208,1,ChiNext
20230209,1,ChiNext
20230210,3,ChiNext
20230213,2,ChiNext
20230214,2,ChiNext
20230215,1,ChiNext
20230216,1,ChiNext
20230217,1,ChiNext
20230220,1,ChiNext
20230221,1,ChiNext
20230222,2,ChiNext
20230223,2,ChiNext
20230224,2,ChiNext
20230227,2,ChiNext
20230228,4,ChiNext
20230301,4,ChiNext
20230302,4,ChiNext
