qid_date,number_of_stocks,market
20211207,3,Main
20211208,3,Main
20211209,1,Main
20211210,4,Main
20211213,2,Main
20211214,2,Main
20211215,0,Main
20211216,0,Main
20211217,3,Main
20211220,3,Main
20211221,1,Main
20211222,1,Main
20211223,4,Main
20211224,4,Main
20211227,2,Main
20211228,3,Main
20211229,3,Main
20211230,3,Main
20211231,1,Main
20220104,1,Main
20220105,1,Main
20220106,4,Main
20220107,4,Main
20220110,3,Main
20220111,4,Main
20220112,1,Main
20220113,1,Main
20220114,1,Main
20220117,1,Main
20220118,2,Main
20220119,4,Main
20220120,4,Main
20220121,4,Main
20220124,3,Main
20220125,3,Main
20220126,1,Main
20220127,1,Main
20220128,1,Main
20220207,1,Main
20220208,4,Main
20220209,2,Main
20220210,2,Main
20220211,0,Main
20220214,0,Main
20220215,0,Main
20220216,1,Main
20220217,0,Main
20220218,4,Main
20220221,3,Main
20220222,3,Main
20220223,3,Main
20220224,1,Main
20220225,1,Main
20220228,4,Main
20220301,4,Main
20220302,3,Main
20220303,2,Main
20220304,2,Main
20220307,2,Main
20220308,0,Main
20220309,0,Main
20220310,4,Main
20220311,1,Main
20220314,1,Main
20220315,0,Main
20220316,0,Main
20220317,4,Main
20220318,4,Main
20220321,1,Main
20220322,1,Main
20220323,0,Main
20220324,0,Main
20220325,0,Main
20220328,4,Main
20220329,4,Main
20220330,1,Main
20220331,1,Main
20220401,0,Main
20220406,0,Main
20220407,2,Main
20220408,4,Main
20220411,1,Main
20220412,1,Main
20220413,0,Main
20220414,0,Main
20220415,4,Main
20220418,4,Main
20220419,4,Main
20220420,1,Main
20220421,3,Main
20220422,2,Main
20220425,4,Main
20220426,4,Main
20220427,4,Main
20220428,1,Main
20220429,1,Main
20220505,1,Main
20220506,0,Main
20220509,4,Main
20220510,4,Main
20220511,3,Main
20220512,3,Main
20220513,3,Main
20220516,0,Main
20220517,2,Main
20220518,2,Main
20220519,2,Main
20220520,2,Main
20220523,0,Main
20220524,0,Main
20220525,1,Main
20220526,1,Main
20220527,1,Main
20220530,0,Main
20220531,0,Main
20220601,0,Main
20220602,4,Main
20220606,4,Main
20220607,4,Main
20220608,0,Main
20220609,1,Main
20220610,1,Main
20220613,1,Main
20220614,4,Main
20220615,4,Main
20220616,3,Main
20220617,3,Main
20220620,2,Main
20220621,0,Main
20220622,2,Main
20220623,4,Main
20220624,4,Main
20220627,1,Main
20220628,1,Main
20220629,3,Main
20220630,3,Main
20220701,4,Main
20220704,4,Main
20220705,4,Main
20220706,1,Main
20220707,0,Main
20220708,3,Main
20220711,3,Main
20220712,4,Main
20220713,4,Main
20220714,1,Main
20220715,1,Main
20220718,2,Main
20220719,1,Main
20220720,4,Main
20220721,4,Main
20220722,0,Main
20220725,2,Main
20220726,2,Main
20220727,2,Main
20220728,0,Main
20220729,4,Main
20220801,1,Main
20220802,1,Main
20220803,0,Main
20220804,0,Main
20220805,4,Main
20220808,4,Main
20220809,2,Main
20220810,0,Main
20220811,0,Main
20220812,2,Main
20220815,4,Main
20220816,4,Main
20220817,0,Main
20220818,0,Main
20220819,1,Main
20220822,1,Main
20220823,2,Main
20220824,4,Main
20220825,0,Main
20220826,0,Main
20220829,1,Main
20220830,1,Main
20220831,1,Main
20220901,0,Main
20220902,0,Main
20220905,1,Main
20220906,1,Main
20220907,2,Main
20220908,0,Main
20220909,0,Main
20220913,4,Main
20220914,4,Main
20220915,2,Main
20220916,2,Main
20220919,0,Main
20220920,4,Main
20220921,4,Main
20220922,1,Main
20220923,1,Main
20220926,1,Main
20220927,3,Main
20220928,3,Main
20220929,0,Main
20220930,1,Main
20221010,2,Main
20221011,2,Main
20221012,2,Main
20221013,2,Main
20221014,3,Main
20221017,3,Main
20221018,2,Main
20221019,1,Main
20221020,2,Main
20221021,4,Main
20221024,4,Main
20221025,3,Main
20221026,3,Main
20221027,1,Main
20221028,1,Main
20221031,1,Main
20221101,4,Main
20221102,4,Main
20221103,2,Main
20221104,2,Main
20221107,2,Main
20221108,1,Main
20221109,4,Main
20221110,4,Main
20221111,4,Main
20221114,3,Main
20221115,3,Main
20221116,4,Main
20221117,1,Main
20221118,1,Main
20221121,2,Main
20221122,2,Main
20221123,2,Main
20221124,2,Main
20221125,1,Main
20221128,1,Main
20221129,4,Main
20221130,4,Main
20221201,3,Main
20221202,2,Main
20221205,2,Main
20221206,1,Main
20221207,4,Main
20221208,4,Main
20221209,3,Main
20221212,2,Main
20221213,2,Main
20221214,2,Main
20221215,1,Main
20221216,4,Main
20221219,3,Main
20221220,3,Main
20221221,4,Main
20221222,4,Main
20221223,4,Main
20221226,1,Main
20221227,1,Main
20221228,2,Main
20221229,4,Main
20221230,4,Main
20230103,4,Main
20230104,1,Main
20230105,1,Main
20230106,1,Main
20230109,4,Main
20230110,4,Main
20230111,4,Main
20230112,0,Main
20230113,0,Main
20230116,1,Main
20230117,1,Main
20230118,4,Main
20230119,2,Main
20230120,2,Main
20230130,1,Main
20230131,3,Main
20230201,4,Main
20230202,4,Main
20230203,2,Main
20230206,2,Main
20230207,2,Main
20230208,3,Main
20230209,3,Main
20230210,4,Main
20230213,1,Main
20230214,0,Main
20230215,3,Main
20230216,0,Main
20230217,0,Main
20230220,1,Main
20230221,1,Main
20230222,1,Main
20230223,1,Main
20230224,4,Main
20230227,4,Main
20230228,4,Main
20230301,2,Main
20230302,2,Main
